water_depth_m,topsides_weight_t,num_wells,production_kbopd,development_years,facility_type_code,CAPEX_MMUSD
2404.1,34501.0,31,27.6,3.2,2,3949.08
2266.2,39553.0,18,154.8,5.3,4,5980.82
513.6,15920.0,36,170.4,6.4,0,2255.12
201.3,37100.0,2,158.7,5.7,1,1778.29
278.9,5690.0,14,121.2,3.1,3,1160.9
75.0,,13,101.1,4.1,0,1461.89
263.3,6435.0,29,217.2,6.7,3,1796.1
1717.0,,12,134.6,5.3,1,3044.49
,36040.0,39,125.0,2.0,1,1986.88
817.9,7426.0,2,16.2,6.6,0,787.54
2116.8,10933.0,32,91.9,2.2,1,3136.46
87.5,32724.0,13,101.2,6.5,4,2034.54
2041.7,32626.0,27,105.7,3.2,1,3286.98
726.2,,17,149.2,7.7,3,2230.94
321.9,31473.0,31,138.1,4.2,3,1695.84
1750.9,24788.0,34,155.9,4.0,3,2528.81
1583.5,11930.0,24,193.6,2.9,3,3491.5
2197.4,16080.0,35,205.1,3.8,4,4003.19
1845.6,8827.0,6,182.3,7.3,2,3541.51
2014.6,40954.0,19,239.3,8.0,0,5231.26
726.6,26586.0,30,14.4,4.2,3,2090.81
468.3,18518.0,7,57.0,4.7,1,1171.45
1884.0,21221.0,10,11.8,6.3,3,2798.31
2022.9,42670.0,32,165.4,7.3,1,3766.76
2476.5,7578.0,34,225.5,5.6,1,3791.48
1049.2,26711.0,28,68.4,4.3,3,2492.0
948.9,23160.0,15,232.5,4.5,4,2502.2
1947.7,27826.0,30,24.5,6.2,1,2072.16
871.8,1600.0,37,234.3,2.0,1,2070.95
2329.0,39348.0,29,94.4,5.7,3,3934.66
2150.3,42000.0,22,34.3,4.1,1,4222.24
1089.6,25779.0,4,126.6,6.8,1,2174.1
1884.7,31592.0,20,71.6,2.6,3,3410.54
1893.7,41574.0,32,78.4,5.5,3,3555.15
284.7,32060.0,36,83.7,4.9,0,2108.76
2259.3,7542.0,4,202.7,5.9,4,4378.1
1278.0,26272.0,27,139.4,2.4,4,3389.59
2071.3,27617.0,17,84.7,5.5,1,2453.29
820.5,19547.0,12,156.5,5.4,4,2401.79
2241.9,33351.0,22,181.9,5.4,1,4565.03
991.3,42099.0,17,75.4,5.6,0,2497.33
56.8,41710.0,10,109.3,6.1,3,1991.45
,20727.0,1,39.3,6.8,3,3208.16
255.5,5805.0,22,53.5,3.6,3,985.36
818.7,44330.0,26,173.5,7.0,4,2297.77
2376.7,,18,53.5,5.0,0,3275.56
2378.0,6310.0,14,136.0,2.5,4,4938.54
1446.4,41501.0,29,180.2,2.4,4,3277.01
1590.6,39249.0,12,35.7,4.0,0,1845.0
1137.7,23733.0,36,146.2,6.7,0,3069.79
754.2,26934.0,35,71.6,6.2,0,2353.99
841.8,18436.0,12,241.1,6.7,0,3009.47
1691.1,3220.0,7,126.1,5.1,3,2827.04
1888.4,15616.0,29,203.4,4.6,2,4062.05
1985.2,36286.0,11,142.1,2.9,2,4492.85
,1005.0,33,20.4,4.0,0,2239.17
255.3,15541.0,6,162.0,4.6,2,1339.67
1251.2,18399.0,15,238.3,2.5,2,2421.85
172.2,,32,154.4,3.3,0,1694.24
1387.3,41458.0,11,206.6,5.6,2,4111.56
1120.6,16108.0,23,222.2,6.4,4,3265.31
2222.6,16135.0,26,64.7,8.0,1,3640.64
896.8,33398.0,34,60.9,7.6,1,1740.09
319.2,20788.0,34,156.6,5.9,0,1747.5
383.2,10728.0,29,108.6,4.5,3,1210.45
1910.9,20798.0,4,211.6,5.8,0,3982.14
1557.0,7026.0,17,226.0,6.7,3,3964.0
279.8,8596.0,35,94.8,2.7,1,1524.35
237.7,22828.0,13,66.8,4.5,0,1030.49
1761.4,19317.0,39,197.3,7.0,4,4699.56
209.7,41236.0,15,76.0,4.3,2,1632.07
2060.0,16818.0,29,207.4,5.4,3,3206.89
1774.4,26462.0,29,111.7,5.5,2,2824.34
,28746.0,11,170.2,3.1,2,1698.85
239.5,1379.0,32,32.9,4.2,0,894.9
2467.0,30128.0,2,159.7,4.0,2,3857.72
954.4,8669.0,14,118.4,2.2,4,1565.3
945.5,43279.0,20,150.8,2.1,2,3184.73
2037.6,7371.0,22,50.3,7.0,0,2756.26
2369.7,19126.0,11,186.8,3.6,4,3555.06
2465.4,4572.0,27,217.1,5.1,1,4705.74
1890.8,44862.0,3,62.0,3.8,2,2593.73
959.4,22997.0,17,33.0,7.6,0,1418.09
236.2,27116.0,28,15.7,3.6,1,1500.0
1949.6,3765.0,29,164.1,4.6,1,4133.88
1409.3,33948.0,21,155.7,7.2,3,3058.44
1077.8,10078.0,16,141.2,7.1,4,2437.47
2268.7,40494.0,37,65.7,3.1,2,3213.94
304.7,9867.0,20,103.8,6.8,0,1373.4
1246.8,9228.0,6,152.7,4.7,3,2212.87
58.0,2415.0,19,129.2,4.9,4,1300.63
1187.6,21665.0,5,247.1,2.8,3,3061.35
169.1,25766.0,3,42.7,2.5,4,953.43
323.5,3704.0,1,176.8,6.4,4,1514.3
320.3,,38,107.0,5.0,2,1544.36
1633.5,20835.0,15,112.8,4.6,4,2814.96
1872.7,23978.0,34,182.2,6.4,3,3781.4
,20282.0,35,176.2,6.6,4,3516.53
2406.6,18514.0,25,247.9,3.0,2,4465.02
955.9,25536.0,24,40.8,5.7,2,2364.32
735.7,7662.0,12,35.0,2.8,3,1019.35
2175.4,8841.0,18,183.8,6.5,1,2788.87
582.3,38891.0,15,148.8,5.9,1,2482.08
2409.2,42618.0,16,75.8,7.7,4,2896.32
60.0,17300.0,27,29.1,2.4,0,920.24
2425.6,12767.0,8,30.6,2.3,4,2582.37
136.6,29265.0,25,224.6,3.7,3,2782.25
,18866.0,17,56.0,3.6,3,3369.32
1333.4,1922.0,29,87.6,3.5,3,2199.18
2482.6,7702.0,8,64.4,7.4,3,4033.55
212.3,32446.0,15,95.2,3.5,3,1390.76
1398.0,29924.0,27,26.7,3.6,2,2163.55
2424.2,,7,134.6,6.6,1,2748.97
,10611.0,3,26.2,4.7,3,1634.81
1584.6,11014.0,29,202.1,6.7,0,3188.25
,,24,66.1,2.4,0,3048.33
1152.7,1671.0,3,139.6,4.9,0,2157.87
1580.1,5402.0,20,221.2,2.2,0,2071.04
1473.3,36156.0,15,166.2,2.4,2,3034.66
2255.9,8692.0,25,137.9,7.4,0,2941.53
142.3,29651.0,30,87.8,2.8,3,1619.18
724.0,11328.0,14,89.9,5.2,4,2440.56
2377.5,5195.0,7,170.7,4.5,0,3564.23
2229.0,11548.0,17,248.6,4.1,2,4471.58
1155.5,32724.0,20,168.8,7.4,2,3886.24
1561.7,38622.0,36,143.9,2.1,0,3823.55
715.1,37496.0,9,185.4,6.0,4,2492.66
494.7,18356.0,38,121.6,7.8,0,1635.02
1175.3,30329.0,22,24.4,5.4,2,2263.54
902.8,9860.0,2,145.0,7.6,1,1801.96
1471.6,13757.0,24,239.8,2.3,3,2472.26
222.0,40418.0,8,52.1,4.5,2,1562.23
2436.8,1375.0,11,175.6,3.6,0,3583.23
2465.9,4579.0,13,58.2,6.4,3,4205.51
1754.5,9989.0,17,138.6,7.9,0,2778.08
1354.2,1973.0,8,33.2,3.5,0,1687.22
794.5,8819.0,21,118.1,5.9,1,1698.79
2040.1,26570.0,18,191.5,3.2,3,4279.22
1721.3,19427.0,30,93.4,5.4,3,3046.85
431.7,40256.0,18,169.6,4.8,1,1877.0
2280.0,36931.0,31,200.9,7.8,2,4545.06
2061.7,15908.0,38,232.5,5.7,0,4191.58
2376.0,12267.0,32,66.3,4.1,4,3732.21
1822.5,17582.0,11,105.8,2.7,0,3145.22
1545.1,26891.0,25,46.6,2.9,0,1960.3
1063.1,12648.0,33,248.2,3.4,2,2536.66
2333.8,28387.0,38,232.5,3.5,0,4815.65
2169.2,18896.0,8,139.6,7.1,1,3091.0
141.7,25200.0,11,212.1,5.4,1,1974.15
95.1,20077.0,22,135.0,5.1,3,1066.01
959.9,13815.0,24,159.7,2.7,4,3391.76
2032.1,42722.0,17,31.4,7.2,0,3179.24
2468.6,34551.0,12,191.3,6.3,0,5033.55
401.5,6993.0,32,40.7,2.4,2,1144.17
1497.5,,15,208.3,6.2,1,3692.14
970.8,22344.0,16,197.7,5.3,4,3369.12
2425.7,40339.0,22,180.1,2.5,3,5196.54
2110.0,36154.0,28,18.7,4.7,1,3212.75
2100.7,19594.0,20,82.8,4.9,3,3259.16
1187.7,1793.0,33,73.1,3.0,2,2332.93
1054.6,12676.0,10,96.4,7.7,2,2846.83
,24740.0,32,31.0,7.1,0,1871.19
169.2,28800.0,33,234.9,6.0,4,3312.86
2165.9,12199.0,2,142.9,4.8,3,3194.98
2037.9,6960.0,33,83.3,4.5,1,3489.4
2499.3,37704.0,33,105.3,5.9,2,5044.0
2491.7,44311.0,13,117.3,5.3,0,3856.71
,24036.0,30,154.1,2.4,0,2512.01
1929.4,8388.0,33,133.8,5.1,3,3906.15
2363.6,12836.0,13,230.7,6.8,2,3764.71
2128.6,1613.0,26,129.3,4.8,4,2918.43
640.9,41212.0,22,248.1,2.3,2,2549.69
1142.8,6005.0,39,214.3,6.7,3,2735.28
349.0,26282.0,2,60.0,3.2,3,1497.58
2386.5,12913.0,38,233.3,3.6,2,4633.63
1527.3,25295.0,39,37.9,3.0,3,3067.26
594.7,29593.0,26,206.2,4.0,2,2676.83
1689.1,37475.0,15,101.3,6.5,1,2892.54
1556.8,9924.0,34,220.7,5.1,2,3656.6
914.7,1286.0,11,218.3,3.2,2,2529.71
310.5,6850.0,3,203.4,7.3,3,1921.8
1688.8,40581.0,6,199.6,7.3,3,3968.06
1315.2,39426.0,9,83.1,7.2,0,2334.74
1937.6,27206.0,6,29.4,3.4,0,2723.01
1314.8,27343.0,9,106.7,4.7,1,2180.65
2134.9,30195.0,39,51.6,7.9,0,3569.38
1393.2,8551.0,31,176.8,6.6,2,2219.33
1415.5,41217.0,32,93.1,2.2,3,2321.01
2195.3,19310.0,12,244.1,2.4,0,3666.38
1026.6,17735.0,8,163.8,4.8,0,2033.48
361.0,23736.0,8,207.4,7.5,1,2111.81
101.1,2876.0,28,41.8,5.2,1,886.2
1895.2,8150.0,20,216.9,5.0,2,3462.06
1562.2,33421.0,7,231.5,2.6,3,3736.14
1769.1,4460.0,11,126.9,5.9,1,2520.53
556.0,27459.0,20,155.5,6.9,0,2070.04
366.8,11644.0,16,193.6,4.3,3,2304.46
,18007.0,4,52.0,6.7,3,1091.69
896.0,13560.0,6,130.6,7.8,0,1908.27
1487.1,16521.0,22,105.7,3.2,1,2591.19
998.8,32582.0,26,45.1,5.1,0,2097.74
1110.6,13933.0,3,98.2,3.7,3,1796.61
2263.3,25835.0,14,26.4,6.8,4,2913.9
890.2,21841.0,11,16.2,5.5,4,1591.83
1299.6,30134.0,18,42.4,5.8,2,2764.12
1965.6,42208.0,12,241.1,6.8,0,3712.56
1009.5,,23,141.9,4.4,0,2483.46
1566.6,10300.0,12,241.8,7.5,2,3596.41
2160.0,2178.0,13,113.8,5.2,2,2956.42
2375.3,12392.0,25,84.8,2.9,2,3752.9
393.3,27102.0,19,131.5,6.2,3,1556.75
2318.7,3073.0,36,115.5,6.8,0,3433.52
1245.5,,8,35.4,3.9,3,2113.67
667.9,27180.0,29,163.8,7.1,2,2518.6
1164.1,15574.0,32,61.8,7.4,0,1688.67
2450.7,34874.0,18,158.7,3.7,3,5024.29
1246.8,5512.0,6,166.0,7.9,3,2182.87
842.0,,18,46.5,2.8,2,1496.85
1594.5,32986.0,19,24.7,3.2,0,2509.8
623.2,22701.0,22,197.4,3.1,2,2641.4
217.4,31227.0,37,120.4,7.4,0,2643.09
348.3,20019.0,32,24.0,5.9,4,1273.98
346.3,11691.0,3,248.8,2.9,1,1617.37
405.2,37004.0,28,23.9,4.6,1,1699.69
,36134.0,10,176.8,5.7,1,1773.45
1613.0,31506.0,35,246.1,2.5,2,4223.24
479.2,12829.0,29,67.4,7.3,4,2001.87
883.8,26888.0,15,44.1,6.8,0,2024.74
2245.1,16755.0,33,39.1,5.0,3,3517.18
1200.7,4848.0,7,82.8,7.8,0,2289.54
1678.9,41345.0,12,34.3,4.5,3,2427.74
455.6,6847.0,30,176.1,7.9,0,1953.0
505.0,42800.0,21,25.0,6.0,4,1778.62
130.9,20513.0,31,132.3,5.8,3,2074.47
447.3,8983.0,24,249.2,3.0,2,1556.06
718.1,24752.0,20,205.4,7.3,0,2469.13
467.2,39384.0,37,157.7,4.6,0,2519.61
249.1,33164.0,4,83.5,3.0,3,1279.68
328.0,36450.0,28,159.7,2.1,2,1947.49
1168.1,29918.0,20,136.5,5.4,2,2746.03
539.6,31399.0,24,112.3,5.2,4,2540.84
929.7,38334.0,32,41.4,6.3,2,2036.48
1273.4,11835.0,36,222.8,7.3,2,2767.09
1735.3,22433.0,34,117.9,2.5,2,3688.89
127.1,10577.0,36,56.7,6.4,1,1220.3
2004.5,44455.0,2,98.3,3.1,4,3102.14
1580.9,42527.0,15,109.4,7.1,0,3498.2
231.9,2543.0,34,208.6,6.9,3,1859.06
2187.7,31986.0,36,186.1,5.2,0,4770.42
2304.6,41696.0,6,194.6,6.3,4,3960.84
,,39,12.6,3.9,3,1109.89
713.9,25903.0,12,109.9,4.8,4,2409.84
2021.3,41265.0,3,125.5,6.9,2,3515.33
1878.2,2300.0,18,14.6,4.8,3,2717.4
485.8,31626.0,21,72.4,4.1,2,1781.97
547.1,13943.0,15,192.5,5.0,0,2490.46
945.1,41658.0,33,42.9,7.0,0,2978.66
1226.8,43721.0,35,138.5,4.0,3,2594.39
1557.1,42537.0,26,61.6,3.0,3,3301.69
941.2,21760.0,8,12.9,6.3,4,1602.67
1172.5,38902.0,36,67.9,7.0,4,3058.51
1876.3,38129.0,30,244.2,2.6,2,4154.89
120.6,14904.0,23,202.4,3.4,3,1553.19
653.5,37438.0,14,240.3,2.9,0,2963.7
1792.0,2436.0,14,127.1,4.1,4,2928.16
2241.2,27155.0,2,36.3,4.7,4,3104.48
1293.8,10966.0,37,141.5,6.5,0,2499.36
,6129.0,5,119.1,5.9,4,2420.18
294.7,4201.0,38,212.6,5.7,2,2168.82
1135.1,31576.0,14,33.5,4.1,3,2167.86
1345.6,15822.0,39,127.2,7.0,0,1607.31
628.9,32835.0,25,46.0,4.8,3,1971.02
695.0,3689.0,20,87.9,7.9,4,1422.07
961.9,,2,187.0,5.8,4,2335.56
79.6,24646.0,39,124.2,2.8,0,1285.46
825.5,35750.0,6,100.2,6.1,2,1739.31
552.3,14889.0,17,104.7,4.0,1,1884.98
838.9,28464.0,25,120.3,6.1,0,2178.68
325.8,39960.0,28,198.4,2.4,1,2197.85
2229.6,28021.0,2,224.1,3.0,1,4121.07
,11097.0,35,239.3,7.1,2,3253.0
1707.4,1879.0,37,198.9,3.4,1,4121.85
1979.3,39258.0,5,85.7,7.0,1,3209.25
1261.2,1740.0,1,175.2,3.7,2,2324.56
244.7,39462.0,12,115.0,5.9,1,2102.63
1356.7,24179.0,36,71.1,6.2,1,3343.94
1479.5,42307.0,23,211.8,5.1,1,3182.67
1871.2,36106.0,31,19.2,3.8,0,2810.37
1096.2,44909.0,11,226.4,3.3,0,3610.34
345.1,16301.0,10,120.8,2.2,0,1450.97
730.9,34710.0,3,162.9,3.8,2,2619.18
926.8,,14,168.2,5.9,4,1994.53
1625.4,22011.0,16,224.8,7.6,1,4241.2
1439.8,28536.0,10,162.8,7.2,1,2657.4
909.6,39417.0,29,157.3,6.6,2,2991.45
2466.7,44296.0,10,26.0,6.7,1,3667.06
1526.3,34758.0,12,134.4,6.0,0,2595.53
616.0,19265.0,30,46.0,3.6,4,1404.51
281.4,19424.0,1,187.0,7.4,3,1385.17
407.6,33401.0,5,132.9,6.0,1,1893.71
637.5,11354.0,20,173.3,5.4,0,1499.25
426.9,5683.0,8,20.0,2.7,3,741.94
490.8,16474.0,12,30.4,4.7,4,1333.21
734.2,13496.0,1,181.9,4.8,3,1231.4
458.2,13897.0,20,27.3,7.2,0,1391.16
2245.0,11125.0,28,27.1,5.3,3,2038.91
228.2,2661.0,37,12.9,4.3,2,984.97
1325.5,1590.0,37,239.6,7.9,3,3223.18
1043.7,44457.0,12,187.0,2.7,1,3071.24
2456.5,19708.0,37,94.8,4.5,1,3818.08
306.7,17787.0,28,81.2,2.3,2,1889.88
1012.7,30840.0,15,93.9,6.4,0,2345.25
2424.6,10447.0,6,195.9,7.5,1,4450.24
2167.8,42788.0,20,168.7,3.7,4,3758.3
2048.2,,14,54.4,7.2,1,3389.52
667.0,4752.0,2,51.8,3.8,1,1337.31
,19257.0,9,33.6,7.5,0,1200.77
1681.5,39657.0,37,168.5,6.5,3,4005.33
2325.6,42557.0,20,193.4,6.8,1,5093.28
1405.2,21459.0,26,73.6,2.1,2,2207.25
1441.9,27913.0,29,15.0,7.8,3,1823.13
721.5,8183.0,1,29.7,6.4,4,1422.35
1930.6,44610.0,35,242.3,3.8,0,4899.76
492.0,11040.0,6,80.9,7.0,4,1218.87
829.5,42469.0,37,194.6,3.7,3,3405.16
1080.8,29514.0,5,159.9,7.2,3,2977.86
1283.8,27662.0,33,101.7,2.7,3,1823.05
628.8,23461.0,14,59.4,6.2,4,1582.89
313.6,10996.0,12,39.1,5.2,3,1061.68
1538.2,8603.0,20,157.6,2.6,4,2759.01
742.9,10545.0,24,195.9,3.5,3,2025.94
1465.7,9041.0,34,164.5,2.1,2,2489.39
411.3,35258.0,25,137.3,4.8,3,2787.69
1218.4,16276.0,29,20.1,3.8,4,2149.33
1345.5,3357.0,39,242.4,5.6,1,2770.22
158.0,43634.0,31,201.7,3.8,3,2482.93
861.4,39863.0,23,80.3,3.8,1,2462.7
362.0,41807.0,38,245.2,6.5,2,2977.61
186.5,44775.0,20,154.5,2.3,0,1895.42
,8486.0,23,149.8,7.4,2,3534.57
826.2,18314.0,16,189.5,7.1,3,2267.23
2030.4,34314.0,8,204.8,6.0,1,3499.67
659.0,31564.0,21,167.6,5.6,1,2502.81
1713.3,7602.0,1,40.7,7.4,4,2074.82
1907.8,36860.0,8,91.2,3.1,1,3315.77
1501.2,10720.0,29,232.7,2.5,4,3971.74
1194.8,10693.0,32,63.9,3.4,0,2137.13
1047.2,24534.0,38,99.3,6.8,3,2539.01
891.7,27008.0,5,113.7,2.2,4,1712.74
2325.9,26440.0,22,115.5,5.5,0,4590.32
2081.6,,34,157.1,8.0,1,2924.29
2413.6,39584.0,1,236.3,7.1,1,5028.76
337.0,12540.0,26,67.8,5.1,0,1412.31
1835.2,6525.0,10,39.2,2.4,1,2188.89
2347.7,40083.0,30,57.4,7.0,0,3723.01
477.6,43040.0,18,222.9,5.6,4,2042.93
194.2,38906.0,17,165.0,2.7,4,2228.34
1860.6,36581.0,26,78.6,2.6,0,3448.25
1448.9,29762.0,8,205.8,7.5,4,2838.67
2109.3,25148.0,12,216.7,6.0,4,3951.95
375.2,4645.0,27,213.2,7.0,4,2173.14
1994.3,18854.0,8,230.5,7.3,2,4084.03
528.0,17273.0,25,70.5,5.4,3,1730.8
,12281.0,4,191.2,5.1,1,1298.44
